Indicator Name,Income Group,Year,Median,Lower Bound,Upper Bound,Count
UHC (Overall),Lower-middle-income countries,2021,59.5,47.15886416,71.84113584,50
UHC (Overall),Upper-middle-income countries,2021,72.5,64.28503371,80.71496629,53
UHC (Overall),High-income countries,2022,83,77.79564315,88.20435685,63
UHC (Overall),Low-income countries,2022,44,32.42177109,55.57822891,25
UHC (Overall),Lower-middle-income countries,2022,59.5,47.20784255,71.79215745,50
UHC (Overall),Upper-middle-income countries,2022,74,65.87739094,82.12260906,53
UHC (Overall),High-income countries,2023,83,77.69210799,88.30789201,63
UHC (Overall),Low-income countries,2023,43,31.78654654,54.21345346,25
UHC (Overall),Lower-middle-income countries,2023,59,47.53831618,70.46168382,50
UHC (Overall),Upper-middle-income countries,2023,73,64.7925571,81.2074429,53
UHC (Infectious Disease),High-income countries,2000,99,93.70395921,104.2960408,63
UHC (Infectious Disease),Low-income countries,2000,11,-16.62254732,38.62254732,25
UHC (Infectious Disease),Lower-middle-income countries,2000,76,52.71996377,99.28003623,50
UHC (Infectious Disease),Upper-middle-income countries,2000,88.5,67.99372949,109.0062705,53
UHC (Infectious Disease),High-income countries,2001,100,95.25753324,104.7424668,63
UHC (Infectious Disease),Low-income countries,2001,10.5,-16.89484238,37.89484238,25
UHC (Infectious Disease),Lower-middle-income countries,2001,76,55.05810092,96.94189908,50
UHC (Infectious Disease),Upper-middle-income countries,2001,88.5,69.88934428,107.1106557,53
UHC (Infectious Disease),High-income countries,2002,100,94.89997486,105.1000251,63
UHC (Infectious Disease),Low-income countries,2002,10.5,-14.92572048,35.92572048,25
UHC (Infectious Disease),Lower-middle-income countries,2002,76,55.57069963,96.42930037,50
UHC (Infectious Disease),Upper-middle-income countries,2002,89,70.29585176,107.7041482,53
UHC (Infectious Disease),High-income countries,2003,100,95.69776266,104.3022373,63
UHC (Infectious Disease),Low-income countries,2003,9,-15.3540035,33.3540035,25
UHC (Infectious Disease),Lower-middle-income countries,2003,77,56.77037543,97.22962457,50
UHC (Infectious Disease),Upper-middle-income countries,2003,89,71.47639738,106.5236026,53
UHC (Infectious Disease),High-income countries,2004,100,96.02232953,103.9776705,63
UHC (Infectious Disease),Low-income countries,2004,9,-15.8588417,33.8588417,25
